imageName,title,author,mainPeople,profile,detail
music_library_1,艳云亭,清初朱佐朝所作,主要人物：洪绘 惜芬,简介：讲述的是书生洪绘与枢密使萧凤韶之女惜芬几经波折，终于结为夫妇的爱情故事，共三十二出。,详情：枢密使萧凤韶为女惜芬择婿，书生洪绘有文才，为萧赏识。洪游艳云亭，饮醉入萧宅，扶醉和惜芬诗，惜芬属意于洪。萧怒洪贪杯狂放，不复言婚事。萧劾奸相王钦若。王怒，荐萧率兵往征西夏叛军，矫旨取惜芬入仪制司。洪至艳云亭，拦驾陈情，痛诋王乱政。王遣家将杀洪，家将纵洪逃，惜芬装疯避祸。后王为乱兵所杀，萧得洪绘兄洪远之助，讨平判军，奏凯而归。惜芬与洪团圆，萧复原官，洪远兄弟一门受封。 此剧《放洪》、《杀庙》、《放惜》、《诈疯》、《痴诉》、《点香》，多为昆曲常演剧目。
music_library_2,玉簪记,明朝高濂所作,主要人物：潘必正 陈妙常,简介：讲述的是宋代书生潘必正与女道士陈妙常的恋爱故事，共三十三出。,详情：书生潘必正，寄居在其姑母所在住的女贞观中，得遇道姑陈妙常，深为爱慕。一夕，闻听琴韵清幽，循声而往，乃妙常所弹。潘遂借琴曲以挑之。妙常虽亦有意，碍于戒律，故作嗔拒。但情愫已通，从此心心相印了。潘必正自与陈妙常操琴挑逗以后，还不能明白对方真实态度，因此抑郁成病，难以排遣。适姑母前来问病，陈妙常随同探望，言词之间，暗通衷曲。于是潘必正霍然而愈，引出后面偷诗订盟的情节。潘必正在姑母主持的尼庵中读书，与避难在此、带发修行的陈妙常一见倾心，虽经几番言语去，却终未得要领。一日潘必正闲步，来到妙常房中，见伏案而眠的妙常袖底有一纸诗文……潘必正与陈妙常两情相好，欢娱正浓。姑母催迫必正，立赴临安应试。妙常因在众人前，无法话别，乃赶往秋江，与必正倾诉离情，然后黯然分袂。"
music_library_3,跃鲤记,明朝陈罴斋所作（存疑）,主要人物：‌姜诗、‌庞三娘、姜母,简介：讲述的是汉代姜诗的妻子庞三娘躬行妇道、侍奉婆婆的故事，共四十二折，无折目。,详情：演晋代周处除三書事，未见传本。《跃鲤记》凡四卷四十三折，无折目，《重订曲海总目》著录，列为无名氏目，因此《跃鲤记》作者是否为陈罴斋尚有争议。剧写姜诗之妻庞三娘躬行妇道，但婆婆受邻居秋娘挑拨，不喜媳妇。姜母患病，思饮江水，庞氏受命去往六七里外的江边汲水。时逢风狂浪急，未能汲得水。为此，姜诗责妻不孝而休之，蒙邻家王母好心收留，庞氏暂寄身王家。儿子安安思母深切，经常送米到邻舍奉母。庞氏不改孝心，闻知婆婆爱吃江鱼，买鱼作，买扇、织衫，托邻母送与婆婆。姜母为邻居频繁送礼之举动而不解，问于母内情，于母告之实情。姜母由此感动，派安安接母回家，一家人团聚。玉帝为姜诗夫妇之孝心感动，敕旨在其家旁侧打通一泉，每日跃出双鲤，以供奉姜母。本事出自《后汉书·列女传》卷八十四《姜诗妻传》。剧中颇多道德说教和宿命思想，但因刻画出了封建家庭中的婆媳矛盾，写出了封建家庭中儿媳的痛苦生活，非常动情。"
music_library_4,占花魁,明末清初李玉所作,主要人物：秦钟 王美娘,简介：讲述的是卖油郎独占花魁女的故事，共二十八出。,详情：卖油郎秦钟在西湖边偶遇名妓“西湖花魁”王美娘，心痴神迷。他辛苦一年，积得十两银子，欲与美娘相处一夜。奈美娘酩酊归来，和衣而睡，又喝又吐，不得安宁。秦钟殷勤侍候，空坐一宵。半年后，万俟公子将美娘抢至舟中，百般凌辱，丢弃十锦塘上。时值隆冬，大雪纷飞，美娘僵卧塘上，奄奄一息，幸遇秦钟相救，送归家中，美娘阅尽风尘，唯觉秦钟志诚可靠，遂将终身相托，赎身从良。
music_library_5,长生殿,清初洪昇所作,主要人物：唐明皇、杨贵妃,简介：共二卷，全剧共五十出,详情：前半部分写唐明皇、杨贵妃，长生殿盟誓，安史乱起，马嵬之变，杨贵妃命殒黄沙的经过。后半部分大都采自野史传闻，写安史乱后玄宗思念贵妃，派人上天入地，到处寻觅她的灵魂；杨贵妃也深深想念唐明皇，并为自己生前的罪愆忏悔。他们的精诚感动了上天。在织女星等的帮助下，终于在月宫中团圆。《长生殿》重点描写了唐朝天宝年间皇帝昏庸、政治腐败给国家带来的巨大灾难，导致王朝几乎覆灭。剧本虽然谴责了唐明皇的穷奢极侈，但同时又表现了对唐明皇和杨贵妃之间的爱情的同情，间接表达了对明皇统治的同情，还寄托了对美好爱情的理想。"
music_library_6,白罗衫,清初刘方作，取材于明人小说《苏知县罗衫再合》,主要人物：徐继祖,简介：讲述了徐继祖寻白罗衫，揭开身世，面对仇父进行抉择的故事，共十五出。,详情：十八年前，苏老夫人给儿子苏云和媳妇各一件白罗衫，儿子那件偶然被灯煤烧坏，留在了家中。苏云中进士，携家眷赴任兰溪知县，途中遭水盗徐能抢掠，苏云被推入江中，苏夫人被强逼成亲。好心的老家人趁徐能大醉，将苏夫人放走。苏夫人已怀八月身孕，奔逃惊胎气，在密林中产下一子，以自己的白罗衫包裹，徐能酒醒追赶苏夫人，却只发现了遗弃林中的男孩，便抱回家收养，取名徐继祖，疼爱有加，十八年后，继祖赴考途中，偶遇苏老夫人，答应替她寻找子媳，苏老夫人将一件白罗衫交付徐继祖，以为凭证。徐继祖高中状元，巡按江南，在寻访白罗衫的过程中，徐继祖终于弄清了自己的身世。原来他的所谓父亲徐能，是个既对他有十八年养育之恩，又与他有十八年杀父之仇的江洋大盗。面对着严酷的现实，徐继祖的灵魂颤栗了，他为前来探望他的徐能摆下了丰盛的酒宴，这究竟是一桌洗尘酒，还是一席“饯行宴”呢… 
music_library_7,宝剑记,明朝李开先,主要人物：林冲,简介：该剧本取材于中国白话小说名著《水浒传》并有所改动。,详情：林冲参奏高俅而被高陷害，被刺配沧州，最后逼上梁山。高俅子谋占林妻张贞娘，贞娘出逃，在白云庵出家。梁山英雄攻打京城，朝廷将高俅父子送梁山军前处死，并招安梁山军。明代陈与郊有改编本，名《灵宝刀》。 林冲在本剧本中的形象与小说《水浒传》被动反抗的形象不同，基本上是一位主动出击型英雄。他与高俅等人的斗争都是清醒、自觉而坚毅的。为了惩治奸佞，请求面见君王，体现了他威武不屈的浩然正气。
music_library_8,春江花月夜,罗周编剧、创作,主要人物：张若虚、辛夷,简介：改编自唐代诗人张若虚的作品《春江花月夜》，讲述了一个历经50年、穿越人鬼仙三界，由爱恋情愫生发，进而超越生死的故事。,详情：公元706年（唐代神龙二年），上元佳节。 诗人张若虚扬州观灯之时，偶见少女辛夷，为之神魂颠倒，未及倾诉，却被鬼卒错拘而亡。他魂堕幽冥，辗转力争，思返阳世，竟又得知辛夷与自己并无姻缘之分。 张若虚历经爱慕痴怨、行游阴阳，以短暂渺小的人生，直面茫茫无垠的时空。在修行得道的鬼仙曹娥的帮助下，诗人重生再返明月桥头，人世盛衰刹那，红颜已成白发，唯江月恒长。 《春江花月夜》的歌吟喷涌而出……
music_library_9,单刀会,元朝关汉卿所作,主要人物：关羽、鲁肃,简介：该剧目讲述的是三国时关羽、鲁肃之间围绕着荆州的得失而展开的斗争，共四折。,详情：刘备向孙权借驻荆州，历久未还。鲁肃设宴，邀请荆州守将关羽。关羽仅带周仓人，持单刀赴会。鲁肃在筵前，索取荆州。关羽斥责鲁肃不应埋设伏兵，反而将鲁肃执住，鲁肃只得作罢。关羽遂鼓帆而去。该曲曲词雄壮豪迈，气势意境俱臻上乘，数百年来传唱不衰，长期在舞台上演出。
music_library_10,挡马,方传芸和汪传钤改编,主要人物：焦光普,简介：昆曲单折武戏，出于清代乾隆时期的乱弹腔，《缀白裘》十一集卷三选录，方传芸和汪传钤于1954年改编所作。,详情：宋朝将领焦光普昔年随杨家将北征，陷落番邦，在柳叶镇上开设酒店度日。他久思回归故国，苦无腰牌，不得过关。一日，他见一个番邦小将身系腰牌，策马疾行，便上前挡住马头，把小将接进店内，伺机盜取他的腰牌。腰牌未得，却察觉小将乃女子，猜度她是杨八姐。果然，此小将为入番刺探军情的杨八姐所扮。八姐见店主屡献殷勤，已自警惕；又见店主探究她的真实身份，更要自卫，于是触发一场搏斗。终于，故人相认，凭腰牌同返中原。
music_library_11,窦娥冤,元代关汉卿所作,主要人物：窦娥,简介：1958年江苏省苏昆剧团为纪念关汉卿戏剧创作七百年，整理关氏原作，首演于南京，是今人用昆曲谱唱元人北曲杂剧原本的剧目。,详情：窦娥幼年因家贫给蔡婆婆家做童养媳，十七岁成婚，新婚一年后夫亡守寡，婆媳相依为命。一日蔡婆出门索债，被赛卢医骗至城外，企图谋财害命。恰逢张驴儿父子经过将其救下。张驴儿父子借此占住蔡家，并威逼蔡家婆媳与他父子成婚，窦娥坚决拒绝。张驴儿阴谋害死蔡婆，反而毒死了张父，他转而诬陷窦娥，将窦娥告到官府。太守逃受贿，严刑逼讯窦娥后，又是欲行刑于蔡婆婆，窦娥不忍心婆婆受刑，便含冤招供，被判处斩刑。临斩之时，窦娥仰天发下三桩誓愿：一在刀过头落地后，一腔颈血飞洒丈二白练之上；二要六月降雪，掩埋她的尸体；三要当地大旱三年，颗粒不收。窦娥死后，她的誓愿一一应验。窦娥之父窦天章受朝廷委派，任两淮提刑肃政廉访使来至楚州，窦娥的冤魂向其父诉说怨情，窦天章终于为女儿申冤昭雪。"
music_library_12,风云会,明末清初李玉所作,主要人物：郑恩,简介：共二十七出。,详情：郑恩追随赵匡胤，如云之从龙，风之从虎。郑恩自幼习武，闯荡江湖，曾在北岳恒山打擂台，得到赵信的赏识。赵信把女儿金娘（京娘，巴黎本误抄为金娘）许配给他，约定日后完婚。当时赵匡胤在京师，与八位结义兄弟舞枪弄棒，专打不平。郑恩遇上了赵匡胤，意气相投，遂结金兰之好。有一次，他俩到五凤楼前御勾栏游玩，与当朝太师的公子苏省文发生冲突。赵匡胤夜闯御勾栏，救出歌女韩素梅，托郑恩送往别处安顿。为躲避官府的追捕，赵匡胤逃往关西，有一天投宿青牛观中，忽听得观中有女子啼哭之声。经盘问，才知是被两个强盗抢来的赵京娘。赵匡胤当即救岀京娘，结为兄妹，并让京娘骑马，自己步行，护送她回家。另一方，郑恩带韩素梅到苏州乡下，以叔嫂相称，打柴谋生。不料木铃关守将韩通见素梅美貌，竟强行劫持。郑恩大怒，追杀韩通，将素梅寄放在尼庵内，自己决定去寻找赵匡胤。行至汾州地界，正好碰上赵匡胤力战董家五虎。两人合力，为民除暴。周世宗柴荣与赵匡胤有旧，接位后命书记赵普把赵匡胤找来，授以枢密重任。赵普在客栈中找到赵匡胤和郑恩，彼此畅叙，方知匡胤的义妹京娘就是赵普的亲妹妹，亦即郑恩的未婚妻。于是同回京城，受世宗之命，统兵征讨南唐。大军行至陈桥，忽报世宗驾崩，少主继位。郑恩等推举赵匡胤为帝，黄袍加身，改国号为宋。不久，赵匡胤统一全国，定都汴梁，遣人迎取家眷，封赵素梅为贵妃。京娘也与郑恩完婚。共享太平之福。
music_library_13,凤凰山,明朝无名所作,主要人物：邹化,简介：原本失传，明清戏曲选本中存有散出，有折子戏留存。，讲述的是元朝时安西王谋逆，江花右、江六云姐弟潜作内应，内乱平定后，百花公主与江六云联姻。,详情：元仁宗时，左丞相铁木迭儿提议科举选才。邹化与妻弟江六云相约赴京赶考，邹化妻江氏途中被安西王阿难答府误认为细作擒获，后因其聪慧被百花公主留作侍女，改名花右。邹化误以为妻被岳父另嫁，双方告官，邹化反被罚充军，后被铁木迭儿赏识，升为侍卫指挥使。江六云高中进士，任浙江道御史，受命探查安西王谋反之事。他化名海俊潜入王府，遭近侍八喇陷害，幸得百花公主相救并私定终身。安西王起兵叛乱，封百花为大将，海俊也被封为护军使，花右为先锋将。海俊与邹化里应外合，击败安西王军，活捉安西王，百花遁入空门。海俊得百花消息，迎其还俗，二人成婚。邹化与花右也重聚。邹化因功升为三边总督，海俊（六云）则为兵部侍郎。朝廷赦免安西王父女，故事圆满结束。
music_library_14,邯郸梦,明朝汤显祖所作,主要人物：卢生,简介：讲述的是吕洞宾度卢生而使其经历荣辱梦幻的故事，共三十出。,详情：山东卢生醉心功名，偶遇仙人吕洞宾，获赠磁枕入梦。梦中，卢生经历宦海浮沉：娶富女、中状元、得罪权贵、贬官、建功立业、遭陷害、免死流放、沉冤得雪、位极人臣、享尽荣华，终因过度享乐而病亡。梦醒时，店中的黄粱饭未熟。经吕洞宾点化，卢生顿悟人生，随仙翁去蓬莱扫落花。
music_library_15,红梨记,明朝徐复祚所作,主要人物：赵汝州,简介：讲述的是北宋书生赵汝州与歌妓谢素秋的恋爱故事，原本共三十出。,详情：北宋末年，山东解元赵汝州来到汴京会试。他几次拜访教坊女乐 谢素秋都没见着。这天，谢素秋却派人送来新诗一首，邀其次日前往。汝州当即答诗一首，接受邀请。怎知太傅王黼垂涎素秋美色，借机将素秋囚于府中。汝州如约前去谢家，最后只得惆怅而返。后金兵来犯，皇帝派王黼到金营求和，金相向他索取几百名妓，王黼连声答应，想趁机把素秋送与金人。看管素秋的花婆仗义把素秋带离汴京，因此王黼找不到素秋，只好将另一歌妓假冒素秋之名，与其余的一百二十名歌妓 一起送往金营。赵汝州亲至王府寻访素秋，里面已寂无一人。其时汴京已乱，汝州只好到雍丘寻访故友钱济之。济之是雍丘县令，他从难民名册上发现了王黼的名字，便将其软禁;又发现谢素秋亦在雍丘，就想帮助挚友成就此段姻缘。经过一番周折之后，汝州与素秋以红梨花作花烛，结成鸾俦。后金兵撤退，朝廷重开选场，钱济之为汝州前程计，催促其前去应试。此时汝州贪图安逸，无意功名，不肯动身。济之只得与花婆商议，定下一计。一日，汝州在花园内遇见花婆，并把素秋送给他的红梨花拿给她观看。不料花婆一见便连呼“有鬼”，说花园主人的女儿害相思病而死，阴魂不散，在她坟上长的就是红梨树，并说自己的儿子就是被她缠死的。汝州听罢大惊，便想速离此地，当日就启程赴考。至京考中状元，赴任途经雍丘，他去拜会钱济之。济之与花婆等人向他说明真情。真相大白，赵汝州便与素秋重偕花烛庆团圆。
music_library_16,红楼梦,曹雪芹所作,主要人物：贾宝玉、林黛玉,简介：全剧分为上下两本，总历时5个小时。,详情：以贾宝玉入世和出世为主线，王熙凤的个人命运为副线，两线并行展示了荣国府从兴盛到衰败的景象。上本从宝玉出世开始，到建大观园止；下本从太虚幻境到宝玉出世，将贾家兴衰、众儿女命运、宝黛爱情幻灭交织聚合，巧妙地揉配文学与戏曲艺术，以精练谆美的古文诗词、雅朴隽永的昆剧曲牌，与精致巧妙的现代舞台科技，呈现出无与伦比的二十一世纪红楼梦艺术。
















